ESPECE,STRAT,ZONE_MOLL,NOM_STATION,LAT,LON
BUCCIN,BC,2,101,49.20604167,-68.08777778
BUCCIN,BC,2,102,49.20025,-68.08777778
BUCCIN,BC,2,103,49.19431944,-68.08777778
BUCCIN,BC,2,104,49.18855556,-68.08777778
BUCCIN,BC,2,105,49.18273611,-68.08777778
BUCCIN,BC,2,106,49.17693056,-68.08777778
BUCCIN,BC,2,107,49.171,-68.08777778
BUCCIN,BC,2,108,49.16506944,-68.08777778
BUCCIN,BC,2,109,49.15927778,-68.09269444
BUCCIN,BC,2,110,49.15333333,-68.09716667
BUCCIN,BC,2,111,49.14766667,-68.09716667
BUCCIN,PAO,2,260,49.01528889,-68.43849167
BUCCIN,PAO,2,261,49.01703056,-68.43016944
BUCCIN,FOR,1,1,48.77044444,-68.94191667
BUCCIN,FOR,1,2,48.764625,-68.95073611
BUCCIN,FOR,1,3,48.764625,-68.95955556
BUCCIN,FOR,1,4,48.75880556,-68.95955556
BUCCIN,FOR,1,5,48.75880556,-68.96855556
BUCCIN,FOR,1,6,48.75880556,-68.977375
BUCCIN,FOR,1,7,48.75298611,-68.95955556
BUCCIN,FOR,1,8,48.75298611,-68.96855556
BUCCIN,FOR,1,9,48.75298611,-68.977375
BUCCIN,FOR,1,10,48.75298611,-68.98618889
BUCCIN,FOR,1,11,48.74715278,-68.96855556
BUCCIN,FOR,1,12,48.74715278,-68.977375
BUCCIN,FOR,1,13,48.74715278,-68.98618889
BUCCIN,FOR,1,14,48.74715278,-68.995
BUCCIN,FOR,1,15,48.74120278,-68.977375
BUCCIN,FOR,1,16,48.74120278,-68.98618889
BUCCIN,FOR,1,17,48.74120278,-68.995
BUCCIN,FOR,1,18,48.74120278,-69.00380556
BUCCIN,FOR,1,19,48.73537778,-68.977375
BUCCIN,FOR,1,20,48.73537778,-68.98618889
BUCCIN,FOR,1,21,48.73537778,-68.995
BUCCIN,FOR,1,22,48.73537778,-69.00380556
BUCCIN,FOR,1,23,48.72955556,-68.98618889
BUCCIN,FOR,1,24,48.72955556,-68.995
BUCCIN,FOR,1,25,48.72955556,-69.00380556
BUCCIN,FOR,1,26,48.72955556,-69.01261111
BUCCIN,FOR,1,27,48.72372222,-68.98618889
BUCCIN,FOR,1,28,48.72372222,-68.995
BUCCIN,FOR,1,35,48.7179,-69.02141667
BUCCIN,FOR,1,36,48.71207222,-69.00380556
BUCCIN,FOR,1,37,48.71207222,-69.01261111
BUCCIN,FOR,1,38,48.71207222,-69.02141667
BUCCIN,FOR,1,39,48.71207222,-69.03040278
BUCCIN,FOR,1,40,48.70611111,-69.00380556
BUCCIN,FOR,1,41,48.70611111,-69.01261111
BUCCIN,FOR,1,42,48.70611111,-69.02141667
BUCCIN,FOR,1,43,48.70611111,-69.03040278
BUCCIN,FOR,1,44,48.70029167,-69.01261111
BUCCIN,FOR,1,45,48.70029167,-69.02141667
BUCCIN,FOR,1,46,48.70029167,-69.03040278
BUCCIN,FOR,1,47,48.69445833,-69.01261111
BUCCIN,FOR,1,48,48.69445833,-69.02141667
BUCCIN,FOR,1,49,48.69445833,-69.03040278
BUCCIN,FOR,1,50,48.68863889,-69.02141667
BUCCIN,FOR,1,51,48.68863889,-69.03040278
BUCCIN,FOR,1,52,48.68280556,-69.02141667
BUCCIN,FOR,1,53,48.68280556,-69.03040278
BUCCIN,FOR,1,54,48.68280556,-69.03918056
BUCCIN,FOR,1,55,48.67698611,-69.03040278
BUCCIN,FOR,1,56,48.67698611,-69.03918056
BUCCIN,FOR,1,57,48.67102778,-69.03918056
BUCCIN,FOR,1,58,48.66519444,-69.03918056
BUCCIN,FOR,1,59,48.66519444,-69.04797222
BUCCIN,FOR,1,60,48.659375,-69.03918056
BUCCIN,FOR,1,61,48.659375,-69.04797222
BUCCIN,PAO,1,206,49.00827778,-68.48127778
BUCCIN,PAO,1,207,49.00527778,-68.49034722
BUCCIN,PAO,1,208,49.00527778,-68.49919444
BUCCIN,PAO,1,209,49.00527778,-68.50802778
BUCCIN,PAO,1,210,49.00527778,-68.51686111
BUCCIN,PAO,1,211,49.00527778,-68.525625
BUCCIN,PAO,1,212,49.00527778,-68.53475
BUCCIN,PAO,1,213,49.00527778,-68.54356944
BUCCIN,PAO,1,214,49.00527778,-68.55258333
BUCCIN,PAO,1,215,49.00527778,-68.56140278
BUCCIN,PAO,1,216,48.99952778,-68.51686111
BUCCIN,PAO,1,217,48.99952778,-68.525625
BUCCIN,PAO,1,218,48.99952778,-68.53475
BUCCIN,PAO,1,219,48.99952778,-68.54356944
BUCCIN,PAO,1,220,48.99952778,-68.55258333
BUCCIN,PAO,1,251,49.00901667,-68.56353333
BUCCIN,PAO,1,252,49.00476667,-68.57445
BUCCIN,PAO,1,253,49.00216667,-68.58161667
BUCCIN,PAO,1,254,48.99853333,-68.58731667
BUCCIN,PAO,1,255,48.99536667,-68.59416667
